 

stn;time;tre200s0
BER;201905041640;3.8
BER;201905041650;3.2
BER;201905041700;2.5
BER;201905041710;1.6
BER;201905041720;1.1
BER;201905041730;1.0
BER;201905041740;1.0
BER;201905041750;1.0
BER;201905041800;1.1
BER;201905041810;1.2
BER;201905041820;1.1
BER;201905041830;1.2
BER;201905041840;1.2
BER;201905041850;1.1
BER;201905041900;1.0
BER;201905041910;1.0
BER;201905041920;1.0
BER;201905041930;0.9
BER;201905041940;0.9
BER;201905041950;0.9
BER;201905042000;1.0
BER;201905042010;0.9
BER;201905042020;1.1
BER;201905042030;0.9
BER;201905042040;0.9
BER;201905042050;0.8
BER;201905042100;0.9
BER;201905042110;0.8
BER;201905042120;0.7
BER;201905042130;0.8
BER;201905042140;1.0
BER;201905042150;0.9
BER;201905042200;0.8
BER;201905042210;0.8
BER;201905042220;0.6
BER;201905042230;0.5
BER;201905042240;0.6
BER;201905042250;0.5
BER;201905042300;0.5
BER;201905042310;0.6
BER;201905042320;0.6
BER;201905042330;0.4
BER;201905042340;0.5
BER;201905042350;0.5
BER;201905050000;0.4
BER;201905050010;0.5
BER;201905050020;0.6
BER;201905050030;0.6
BER;201905050040;0.5
BER;201905050050;0.6
BER;201905050100;0.6
BER;201905050110;0.8
BER;201905050120;0.6
BER;201905050130;0.6
BER;201905050140;0.5
BER;201905050150;0.5
BER;201905050200;0.6
BER;201905050210;0.5
BER;201905050220;0.6
BER;201905050230;0.7
BER;201905050240;0.5
BER;201905050250;0.6
BER;201905050300;0.6
BER;201905050310;0.7
BER;201905050320;0.6
BER;201905050330;0.5
BER;201905050340;0.6
BER;201905050350;0.5
BER;201905050400;0.6
BER;201905050410;0.6
BER;201905050420;0.6
BER;201905050430;0.6
BER;201905050440;0.8
BER;201905050450;0.9
BER;201905050500;0.9
BER;201905050510;0.8
BER;201905050520;0.8
BER;201905050530;1.0
BER;201905050540;0.9
BER;201905050550;1.0
BER;201905050600;1.1
BER;201905050610;1.0
BER;201905050620;1.0
BER;201905050630;1.0
BER;201905050640;1.1
BER;201905050650;1.3
BER;201905050700;1.3
BER;201905050710;1.3
BER;201905050720;1.5
BER;201905050730;1.5
BER;201905050740;1.6
BER;201905050750;1.5
BER;201905050800;1.7
BER;201905050810;2.0
BER;201905050820;2.4
BER;201905050830;2.3
BER;201905050840;2.5
BER;201905050850;2.5
BER;201905050900;2.7
BER;201905050910;2.9
BER;201905050920;3.0
BER;201905050930;3.0
BER;201905050940;2.9
BER;201905050950;2.8
BER;201905051000;3.3
BER;201905051010;3.6
BER;201905051020;3.4
BER;201905051030;3.1
BER;201905051040;3.5
BER;201905051050;4.0
BER;201905051100;4.7
BER;201905051110;5.7
BER;201905051120;5.5
BER;201905051130;5.1
BER;201905051140;5.4
BER;201905051150;4.4
BER;201905051200;5.4
BER;201905051210;5.8
BER;201905051220;5.2
BER;201905051230;5.9
BER;201905051240;5.1
BER;201905051250;5.9
BER;201905051300;5.9
BER;201905051310;5.5
BER;201905051320;4.9
BER;201905051330;5.0
BER;201905051340;5.2
BER;201905051350;6.8
BER;201905051400;4.5
BER;201905051410;4.3
BER;201905051420;4.5
BER;201905051430;5.5
BER;201905051440;6.3
BER;201905051450;6.6
BER;201905051500;6.3
BER;201905051510;6.0
BER;201905051520;6.3
