Typ,Time,Temp,lon,lat,altitude
Bicycle,2019-06-27 04:58:50,19.37,7.443595,46.96691,542
Bicycle,2019-06-27 04:59:00,19.37,7.443463,46.96648,541
Bicycle,2019-06-27 04:59:10,19.37,7.443321,46.96607,541
Bicycle,2019-06-27 04:59:20,19.33,7.443158,46.96565,540
Bicycle,2019-06-27 04:59:30,19.27,7.442993,46.96521,538
Bicycle,2019-06-27 04:59:40,19.24,7.442814,46.96477,538
Bicycle,2019-06-27 04:59:50,19.3,7.442581,46.96434,539
Logger,2019-06-27 04:00:00,21.235,7.42253,46.95292,553.8
Logger,2019-06-27 04:00:00,21.314,7.40633,46.94333,555.5
Logger,2019-06-27 04:00:00,23.581,7.44925,46.94851,536.6
Logger,2019-06-27 04:00:00,18.87,7.38733,46.98041,590.2
Logger,2019-06-27 04:00:00,19.393,7.38371,46.9402,561.9
Logger,2019-06-27 04:00:00,22.43,7.46248,46.968,550.5
Logger,2019-06-27 04:00:00,19.377,7.42015,46.95029,552.4
Logger,2019-06-27 04:00:00,22.573,7.4354,46.95791,558.6
Logger,2019-06-27 04:00:00,20.837,7.43982,46.96249,562.8
Logger,2019-06-27 04:00:00,21.028,7.47194,46.94701,564
Logger,2019-06-27 04:00:00,20.599,7.46442,46.94471,549.2
Logger,2019-06-27 04:00:00,22.158,7.44885,46.94381,530.8
Logger,2019-06-27 04:00:00,23.052,7.44415,46.9497,539.2
Logger,2019-06-27 04:00:00,22.812,7.43849,46.94729,542.5
Logger,2019-06-27 04:00:00,21.139,7.46019,46.95189,568.4
Logger,2019-06-27 04:00:00,20.885,7.44738,46.93861,519.7
Logger,2019-06-27 04:00:00,21.967,7.46992,46.95065,579.1
Logger,2019-06-27 04:00:00,21.235,7.39462,46.90339,656.7
Logger,2019-06-27 04:00:00,19.504,7.44213,46.9395,503.1
Logger,2019-06-27 04:00:00,21.06,7.4562,46.94687,499.6
Logger,2019-06-27 04:00:00,20.948,7.49872,46.95575,574.3
Logger,2019-06-27 04:00:00,20.329,7.42031,46.92781,567.2
Logger,2019-06-27 04:00:00,22.684,7.42567,46.94719,543.7
Logger,2019-06-27 04:00:00,22.126,7.43097,46.94192,524.6
Logger,2019-06-27 04:00:00,18.505,7.47124,46.94861,558.5
Logger,2019-06-27 04:00:00,22.317,7.47194,46.95555,563.7
Logger,2019-06-27 04:00:00,18.901,7.40995,46.92041,577.2
Logger,2019-06-27 04:00:00,18.933,7.42128,46.95739,552.3
Logger,2019-06-27 04:00:00,20.186,7.45656,46.93798,535.2
Logger,2019-06-27 04:00:00,22.381,7.45802,46.95696,559.3
Logger,2019-06-27 04:00:00,21.171,7.46887,46.94518,566.3
Logger,2019-06-27 04:00:00,22.844,7.44772,46.95519,542.8
Logger,2019-06-27 04:00:00,22.733,7.44514,46.95896,538.1
Logger,2019-06-27 04:00:00,21.139,7.43739,46.92607,619.8
Logger,2019-06-27 04:00:00,19.869,7.40134,46.9489,545.9
Logger,2019-06-27 04:00:00,22.956,7.45193,46.94858,533.1
Logger,2019-06-27 04:00:00,20.869,7.43462,46.94187,521.4
Logger,2019-06-27 04:00:00,23.004,7.45351,46.94813,532
Logger,2019-06-27 04:00:00,22.637,7.44741,46.94828,539.5
Logger,2019-06-27 04:00:00,22.015,7.46968,46.96717,547.6
Logger,2019-06-27 04:00:00,23.1,7.44418,46.94983,539
Logger,2019-06-27 04:00:00,21.553,7.43821,46.9651,573.1
Logger,2019-06-27 04:00:00,19.202,7.46833,46.94644,558.2
Logger,2019-06-27 04:00:00,21.362,NA,NA,NA
Logger,2019-06-27 04:00:00,16.713,7.36586,46.93362,574.3
Logger,2019-06-27 04:00:00,23.068,7.45191,46.96174,554.9
Logger,2019-06-27 04:00:00,22.972,7.44376,46.94879,541.5
Logger,2019-06-27 04:00:00,23.004,7.44077,46.95152,534.6
Logger,2019-06-27 04:00:00,22.19,7.43133,46.94077,525.7
Logger,2019-06-27 04:00:00,20.933,7.48007,46.93919,553.1
Logger,2019-06-27 04:00:00,19.631,7.41689,46.94211,548.4
Logger,2019-06-27 04:00:00,20.79,7.43887,46.93508,532.6
Logger,2019-06-27 04:00:00,20.028,7.37478,46.94555,554.2
Logger,2019-06-27 04:00:00,19.599,7.44116,46.974,492.4
Logger,2019-06-27 04:00:00,19.853,7.44922,46.96766,526.8
Logger,2019-06-27 04:00:00,18.743,7.50376,46.96682,557.6
Logger,2019-06-27 04:00:00,22.349,7.43365,46.94832,540.1
Logger,2019-06-27 04:00:00,20.901,7.42312,46.93719,560.6
Logger,2019-06-27 04:00:00,22.876,7.44354,46.94692,542.6
Logger,2019-06-27 04:00:00,22.349,7.43786,46.94658,540.3
Logger,2019-06-27 04:00:00,21.632,7.46407,46.94714,561.6
Logger,2019-06-27 04:00:00,23.436,7.44437,46.94917,539.1
Logger,2019-06-27 04:00:00,19.758,7.45326,46.93122,533.5
Logger,2019-06-27 04:00:00,21.632,7.43582,46.96406,576.1
Logger,2019-06-27 04:00:00,19.298,7.44571,46.94446,500.8
Logger,2019-06-27 04:00:00,18.109,7.51182,46.89942,513.1
Logger,2019-06-27 04:00:00,20.234,7.46954,46.9356,544.6
Logger,2019-06-27 04:00:00,21.33,7.45822,46.94065,551.6
Logger,2019-06-27 04:00:00,22.031,7.46255,46.96312,554.5
Logger,2019-06-27 04:00:00,20.583,7.48707,46.95289,551.5
Logger,2019-06-27 04:00:00,18.885,7.44504,46.96547,494.5
Logger,2019-06-27 04:00:00,19.504,NA,NA,NA
Logger,2019-06-27 04:00:00,19.869,7.46403,46.9908,552.8
Logger,2019-06-27 04:00:00,20.742,7.42805,46.93514,573.7
Logger,2019-06-27 04:00:00,21.903,7.43714,46.9517,561.6
CWS,NA,NA,7.3943629616851,46.885989049692,724
CWS,2019-06-27 03:59:05,23.5,7.383338,46.883334,659
CWS,2019-06-27 04:00:14,21.2,7.38997,46.885852,664
CWS,NA,NA,7.396762,46.938692,563
CWS,2019-06-27 03:59:01,22.4,7.393031698846,46.943502964423,559
CWS,2019-06-27 03:57:52,22.2,7.383468,46.94838,564
CWS,2019-06-27 03:55:38,22.4,7.3906078,46.9393034,563
CWS,2019-06-27 03:54:53,NA,7.383763216919,46.960911343438,491
CWS,NA,NA,7.395193,46.969016,575
CWS,2019-06-27 04:01:35,24.2,7.388242,46.935403,877
CWS,NA,NA,7.3931004999999,46.9686949,497
CWS,2019-06-27 03:53:17,21.8,7.387597,46.968521,504
CWS,2019-06-27 03:58:00,NA,7.385678,46.960113,505
CWS,NA,NA,7.3848442,46.985647,623
CWS,2019-06-27 03:57:12,24.8,7.383176,46.985635,622
CWS,NA,NA,7.385756,46.985748,613
CWS,NA,NA,7.5418698,46.8962022,531
CWS,2019-06-27 04:00:35,20.8,7.4968464999999,46.8845937,535
CWS,2019-06-27 03:53:04,24.6,7.499769,46.8817056,522
CWS,NA,NA,7.5445334976196,46.89685791829,540
CWS,2019-06-27 03:59:56,21.2,7.5049432398692,46.878194924856,539
CWS,2019-06-27 03:55:29,20.6,7.49307,46.89336,556
CWS,2019-06-27 03:55:40,NA,7.4997968,46.9175396,510
CWS,2019-06-27 03:53:55,23.5,7.499917,46.886085,523
CWS,2019-06-27 03:57:39,NA,7.4997189369507,46.882379277947,524
CWS,2019-06-27 03:56:00,25.1,7.489569,46.871388,596
CWS,2019-06-27 03:53:34,22.9,7.4968374,46.9007223,513
CWS,2019-06-27 04:00:22,20.6,7.4915438,46.8686836,552
CWS,2019-06-27 03:55:43,23,7.5070949999999,46.8812327,547
CWS,2019-06-27 03:58:55,24.1,7.5068623,46.8807888,546
CWS,2019-06-27 03:55:35,21.2,7.501444,46.884176,524
CWS,2019-06-27 04:01:11,21.4,7.498782,46.8848117,525
CWS,NA,NA,7.4975849,46.8880656,530
CWS,2019-06-27 03:58:23,23.6,7.4627716246064,46.922055463858,565
CWS,2019-06-27 03:57:26,24.3,7.4326159392216,46.894308085571,779
CWS,2019-06-27 03:54:29,22.9,7.41184,46.91092,662
CWS,2019-06-27 03:57:30,22.9,7.43213,46.92471,635
CWS,2019-06-27 03:54:49,20.8,7.40777,46.92022,586
CWS,2019-06-27 03:52:50,22,7.475736,46.88223,830
CWS,2019-06-27 03:52:43,20.9,7.4083063736664,46.92437853784,605
CWS,NA,NA,7.4150876,46.91008,658
CWS,2019-06-27 03:54:44,22.1,7.4196222,46.9217747,622
CWS,2019-06-27 03:58:25,24.4,7.415754,46.913126,630
CWS,NA,NA,7.4146223068237,46.880202036147,710
CWS,NA,NA,7.409987,46.889546,711
CWS,2019-06-27 03:51:55,20.8,7.421653,46.9248345,597
CWS,2019-06-27 03:51:45,NA,7.4180889749645,46.906110081866,735
CWS,2019-06-27 04:00:47,23.4,7.4162511792068,46.910842049975,646
CWS,2019-06-27 03:53:33,25.8,7.467421,46.916615,565
CWS,2019-06-27 03:57:12,23.1,7.419442,46.91765,-999
CWS,NA,NA,7.4119000000001,46.91085,662
CWS,2019-06-27 03:52:57,25.7,7.517955,46.935309,593
CWS,2019-06-27 03:53:50,20.6,7.5464162000001,46.9256395,622
CWS,2019-06-27 04:01:14,21.7,7.54509,46.925675,603
CWS,NA,NA,7.4968578784475,46.977900050282,602
CWS,2019-06-27 03:56:43,21.4,7.4997491,46.9811288,623
CWS,2019-06-27 03:51:56,23.5,7.501549,46.975624,604
CWS,2019-06-27 03:42:10,24,7.5376,46.930259,624
CWS,2019-06-27 03:58:50,25,7.505346,46.974159,626
CWS,NA,NA,7.529239,46.93181,-999
CWS,2019-06-27 03:56:43,NA,7.5022793010155,46.969686591458,603
CWS,NA,NA,7.499718,46.956786,0
CWS,NA,NA,7.4853330999999,46.9797822,589
CWS,2019-06-27 03:52:59,23,7.508656,46.955983,463
CWS,2019-06-27 04:00:33,23.8,7.498592,46.977421,-999
CWS,2019-06-27 03:54:26,21.6,7.4986394,46.9760471,596
CWS,2019-06-27 03:54:44,23.7,7.496343,46.938114,565
CWS,2019-06-27 03:58:14,23.1,7.489066,46.975584,573
CWS,NA,NA,7.498937,46.974049,599
CWS,2019-06-27 03:53:32,23.4,7.4980367319906,46.960109445642,420
CWS,2019-06-27 03:53:06,25.3,7.497425,46.960009,562
CWS,2019-06-27 04:00:26,22.3,7.492617,46.971724,554
CWS,2019-06-27 03:57:55,24.1,7.5114517,46.9357864,597
CWS,2019-06-27 03:55:36,21.6,7.4980399884682,46.961484859133,564
CWS,NA,NA,7.512809,46.931601,-999
