"NUMMER","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
55,26.187,25.083,23.779,22.827,NA,NA,21.47,21.026,21.123,22.94,24.825,27.838,30.366,31.407,NA,34.125,34.743,35.206,25.517,24.437,23.489,22.827,NA,21.47,21.184,21.07,22.126,23.584,26.774,29.135,30.505,31.407,34.125,34.529,34.851,24.867,24.149,23.489,22.827,21.47,21.184,21.163,21.741,22.726,25.221,28.231,29.301,30.505,33.507,34.529,34.641,24.579,24.149,23.489,22.082,21.184,21.163,21.698,22.225,24.204,26.706,28.417,29.301,31.646,34.239,34.641,22.24
41,24.212,23.647,22.334,20.868,NA,NA,19.064,19.337,20.293,22.071,24.814,27.335,29.553,31.296,NA,34.923,35.888,36.679,23.867,22.997,21.886,20.868,NA,19.064,19.241,19.772,21.274,23.008,26.443,28.473,29.785,31.296,34.923,35.553,36.071,23.294,22.616,21.886,20.868,19.064,19.241,19.609,20.597,22.061,24.672,27.704,28.679,29.785,34.099,35.553,35.739,22.951,22.616,21.886,19.877,19.241,19.609,20.349,21.258,23.585,26.081,27.915,28.679,31.406,35.158,35.739,20.815
62,26.775,25.732,24.359,23.666,NA,NA,21.264,20.893,20.893,22.654,25.726,28.608,31.278,31.936,NA,35.203,36.399,36.438,26.141,25.053,24.147,23.666,NA,21.264,21.025,20.893,21.864,23.704,27.589,29.978,31.365,31.936,35.203,35.984,36.406,25.476,24.805,24.147,23.666,21.264,21.025,20.979,21.525,22.723,25.589,29.085,30.121,31.365,34.461,35.984,36.058,25.22,24.805,24.147,22.347,21.025,20.979,21.483,22.184,24.424,27.232,29.252,30.121,32.575,35.608,36.058,22.29
31,21.2,20.503,19.269,18.896,NA,NA,16.552,16.403,17.242,20.983,24.655,27.25,28.707,29.999,NA,33.351,34.817,35.308,20.776,19.892,19.154,18.896,NA,16.552,16.456,16.784,19.306,22.238,26.331,27.998,28.879,29.999,33.351,34.308,34.93,20.213,19.714,19.154,18.896,16.552,16.456,16.731,18.291,20.495,24.164,27.295,28.144,28.879,32.589,34.308,34.472,20.027,19.714,19.154,17.609,16.456,16.731,18.01,19.288,22.447,25.476,27.453,28.144,30.289,33.907,34.472,18.356
57,28.443,26.97,26.234,25.473,NA,NA,22.94,22.393,22.054,22.861,24.428,26.239,28.005,29.334,NA,35.033,36.205,36.716,27.547,26.606,26.001,25.473,NA,22.94,22.588,22.239,22.499,23.396,25.599,27.145,28.182,29.334,35.033,35.798,36.324,27.057,26.403,26.001,25.473,22.94,22.588,22.401,22.462,22.928,24.489,26.574,27.305,28.182,33.738,35.798,35.949,26.833,26.403,26.001,24.082,22.588,22.401,22.539,22.77,23.885,25.504,26.736,27.305,30.343,35.198,35.949,23.587
39,28.867,27.438,26.234,25.678,NA,NA,22.843,22.277,21.715,21.762,24.125,26.604,28.632,29.889,NA,33.645,34.555,35.512,27.998,26.842,26.064,25.678,NA,22.843,22.478,22.021,21.741,22.57,25.727,27.645,28.799,29.889,33.645,34.24,34.777,27.339,26.634,26.064,25.678,22.843,22.478,22.211,21.928,22.272,24.121,26.905,27.809,28.799,32.792,34.24,34.45,27.105,26.634,26.064,24.121,22.478,22.211,22.076,22.273,23.524,25.423,27.08,27.809,30.328,33.836,34.45,23.284
4,28.462,26.79,25.652,24.916,NA,NA,22.904,22.514,22.474,22.853,25.098,28.896,31.348,32.535,NA,35.319,36.193,36.746,27.446,26.227,25.427,24.916,NA,22.904,22.653,22.495,22.683,23.621,27.553,30.154,31.507,32.535,35.319,35.89,36.321,26.776,25.992,25.427,24.916,22.904,22.653,22.59,22.624,23.221,25.649,29.092,30.328,31.507,34.686,35.89,36.031,26.513,25.992,25.427,23.811,22.653,22.59,22.669,23.012,24.862,27.295,29.294,30.328,32.709,35.578,36.031,23.504
61,27.435,26.367,25.213,24.516,NA,NA,22.012,21.341,20.813,22.023,24.152,27.329,29.863,31.398,NA,34.883,36.07,36.558,26.785,25.796,25,24.516,NA,22.012,21.581,21.101,21.48,22.751,26.206,28.629,30.067,31.398,34.883,35.658,36.182,26.198,25.567,25,24.516,22.012,21.581,21.312,21.432,22.075,24.511,27.689,28.832,30.067,34.091,35.658,35.806,25.96,25.567,25,23.141,21.581,21.312,21.526,21.858,23.594,26.056,27.906,28.832,31.586,35.262,35.806,22.578
23,26.131,26.504,25.194,23.439,NA,NA,20.78,20.461,20.124,21.776,24.375,26.972,28.566,28.745,NA,34.415,35.161,35.85,26.357,25.855,24.657,23.439,NA,20.78,20.576,20.308,21.036,22.664,26.053,27.79,28.59,28.745,34.415,34.902,35.321,25.923,25.423,24.657,23.439,20.78,20.576,20.418,20.835,21.778,24.32,27.072,27.86,28.59,33.126,34.902,35.058,25.571,25.423,24.657,21.979,20.576,20.418,20.827,21.39,23.279,25.546,27.17,27.86,30.427,34.33,35.058,21.986
65,25.196,23.639,22.488,21.975,NA,NA,19.538,19.372,19.76,23.006,25.952,28.47,30.814,32.282,NA,35.291,36.243,36.726,24.249,23.069,22.33,21.975,NA,19.538,19.431,19.549,21.551,24.013,27.579,29.673,31.009,32.282,35.291,35.913,36.356,23.591,22.873,22.33,21.975,19.538,19.431,19.546,20.789,22.53,25.726,28.891,29.863,31.009,34.607,35.913,36.047,23.362,22.873,22.33,20.637,19.431,19.546,20.587,21.598,24.246,27.195,29.089,29.863,32.36,35.576,36.047,21.115
9,26.133,24.764,23.584,23.05,NA,NA,20.675,20.164,20.104,21.752,23.855,25.881,27.915,29.362,NA,35.508,36.945,37.906,25.3,24.18,23.421,23.05,NA,20.675,20.346,20.137,21.013,22.47,25.164,26.925,28.109,29.362,35.508,36.446,37.168,24.659,23.978,23.421,23.05,20.675,20.346,20.261,20.716,21.645,23.782,26.28,27.103,28.109,34.111,36.446,36.687,24.432,23.978,23.421,21.746,20.346,20.261,20.71,21.208,22.869,24.975,26.461,27.103,30.442,35.788,36.687,21.53
76,25.377,24.103,23.06,22.357,NA,NA,19.94,19.338,18.925,20.006,22.782,25.743,28.174,29.734,NA,34.763,35.633,36.406,24.602,23.587,22.844,22.357,NA,19.94,19.553,19.151,19.522,20.955,24.695,26.99,28.382,29.734,34.763,35.331,35.812,24.026,23.367,22.844,22.357,19.94,19.553,19.333,19.458,20.247,22.795,26.106,27.191,28.382,33.62,35.331,35.508,23.79,23.367,22.844,21.03,19.553,19.333,19.536,19.979,21.835,24.349,26.319,27.191,30.394,34.811,35.508,20.537
78,24.289,23.253,22.289,21.673,NA,NA,19.429,19.039,19.338,19.958,21.96,26.309,29.959,32.02,NA,36.018,36.852,37.604,23.659,22.776,22.101,21.673,NA,19.429,19.178,19.175,19.68,20.643,24.771,28.182,30.234,32.02,36.018,36.563,37.026,23.147,22.578,22.101,21.673,19.429,19.178,19.234,19.456,20.188,22.822,26.875,28.462,30.234,35.109,36.563,36.734,22.939,22.578,22.101,20.441,19.178,19.234,19.452,19.849,21.958,24.883,27.177,28.462,32.058,36.141,36.734,20.254
79,24.686,23.557,22.526,22.077,NA,NA,19.733,19.225,19.449,20.937,24.903,28.065,30.312,31.305,NA,35.392,36.207,37.007,24,23.047,22.389,22.077,NA,19.733,19.406,19.327,20.27,22.293,26.946,29.218,30.444,31.305,35.392,35.924,36.393,23.449,22.873,22.389,22.077,19.733,19.406,19.421,19.905,21.301,24.511,28.311,29.37,30.444,34.463,35.924,36.103,23.255,22.873,22.389,20.79,19.406,19.421,19.877,20.689,23.255,26.186,28.486,29.37,32.004,35.495,36.103,20.638
60,23.141,22.383,21.504,20.722,NA,NA,18.697,18.22,18.933,21.475,25.044,27.844,29.945,30.936,NA,34.065,35.02,35.48,22.679,21.948,21.265,20.722,NA,18.697,18.39,18.544,20.336,22.694,26.853,28.922,30.077,30.936,34.065,34.689,35.127,22.24,21.728,21.265,20.722,18.697,18.39,18.58,19.596,21.383,24.674,28.107,29.069,30.077,33.354,34.689,34.82,22.026,21.728,21.265,19.61,18.39,18.58,19.451,20.45,23.25,26.196,28.273,29.069,31.335,34.34,34.82,20
83,28.325,26.849,25.609,24.865,NA,NA,22.213,21.682,21.318,22.831,25.309,27.772,30.153,31.64,NA,34.647,35.565,36.541,27.427,26.235,25.382,24.865,NA,22.213,21.871,21.516,22.152,23.677,26.901,28.994,30.351,31.64,34.647,35.247,35.792,26.748,25.99,25.382,24.865,22.213,21.871,21.678,21.988,22.854,25.251,28.22,29.187,30.351,33.964,35.247,35.461,26.482,25.99,25.382,23.409,21.871,21.678,22.025,22.509,24.276,26.667,28.42,29.187,31.706,34.912,35.461,23.041
87,26.28,24.692,23.892,23.318,NA,NA,20.736,20.391,20.118,21.315,23.441,26.359,29.45,31.139,NA,36.395,37.111,37.794,25.314,24.296,23.716,23.318,NA,20.736,20.514,20.267,20.778,22.041,25.327,27.945,29.676,31.139,36.395,36.862,37.269,24.783,24.121,23.716,23.318,20.736,20.514,20.376,20.643,21.371,23.701,26.999,28.179,29.676,35.201,36.862,37.015,24.576,24.121,23.716,21.9,20.514,20.376,20.658,21.082,22.812,25.361,27.242,28.179,31.795,36.33,37.015,21.584
