"p_id","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
7146,NA,24,23.822,23.654,NA,NA,20.768,20.492,20.865,22.109,23.577,24.1,NA,NA,NA,35.8,35.117,34.7,24,23.889,23.771,23.654,NA,20.768,20.591,20.662,21.552,22.611,23.826,24.1,NA,NA,35.8,35.353,35.02,23.889,23.839,23.771,23.654,20.768,20.591,20.687,21.181,22.002,22.964,23.826,24.1,NA,35.8,35.353,35.246,23.839,23.839,23.771,22.069,20.591,20.687,21.115,21.557,22.355,22.964,23.826,24.1,35.8,35.353,35.246,21.919
7147,26.614,26.172,25.888,25.8,NA,NA,23.453,23.248,23.361,24.694,25.7,NA,31.8,31.8,NA,33.145,33.492,33.8,26.345,26.032,25.861,25.8,NA,23.453,23.321,23.299,24.096,24.891,25.7,31.8,31.8,31.8,33.145,33.372,33.564,26.175,25.99,25.861,25.8,23.453,23.321,23.335,23.8,24.287,24.891,29.911,31.8,31.8,32.84,33.372,33.443,26.122,25.99,25.861,24.511,23.321,23.335,23.744,23.953,24.287,27.012,30.216,31.8,32.378,33.226,33.443,24.385
7153,29.648,28.95,28.061,27.6,NA,NA,26.2,NA,24.7,25.164,26.759,29.002,30.98,31.8,NA,33.442,33.451,33.5,29.223,28.51,27.921,27.6,NA,26.2,26.2,24.7,24.992,25.71,28.209,30.017,31.089,31.8,33.442,33.448,33.462,28.789,28.347,27.921,27.6,26.2,26.2,25.079,24.992,25.428,26.975,29.332,30.147,31.089,33.069,33.448,33.456,28.621,28.347,27.921,27.166,26.2,25.079,25.126,25.428,26.537,28.132,29.477,30.147,31.831,33.295,33.456,26.375
7156,25.967,24.872,23.719,23.294,NA,NA,20.611,20.103,20.192,21.364,23.307,25.418,27.663,28.6,NA,34,34.515,34.9,25.3,24.301,23.59,23.294,NA,20.611,20.283,20.143,20.839,22.028,24.671,26.57,27.787,28.6,34,34.337,34.605,24.71,24.121,23.59,23.294,20.611,20.283,20.252,20.581,21.388,23.331,25.884,26.718,27.787,32.773,34.337,34.43,24.51,24.121,23.59,21.821,20.283,20.252,20.586,21.009,22.553,24.582,26.043,26.718,29.746,33.804,34.43,21.495
7158,27.941,26.833,25.691,25.237,NA,NA,22.495,21.929,21.498,21.778,22.887,24.539,26.488,27.4,NA,34.894,36.138,36.8,27.266,26.267,25.552,25.237,NA,22.495,22.13,21.733,21.652,22.157,23.955,25.539,26.609,27.4,34.894,35.707,36.292,26.678,26.083,25.552,25.237,22.495,22.13,21.909,21.749,21.927,23.073,24.982,25.675,26.609,33.191,35.707,35.887,26.474,26.083,25.552,23.731,22.13,21.909,21.87,21.928,22.682,24.059,25.124,25.675,29.222,34.935,35.887,22.985
7159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7161,28.911,28.203,26.925,26.1,NA,NA,23.852,23.408,23.128,23.502,24.587,26.413,28.661,29.7,NA,35.748,36.043,36.2,28.48,27.57,26.673,26.1,NA,23.852,23.566,23.281,23.334,23.873,25.767,27.566,28.799,29.7,35.748,35.94,36.079,27.899,27.307,26.673,26.1,23.852,23.566,23.413,23.36,23.613,24.85,26.941,27.722,28.799,34.373,35.94,35.983,27.645,27.307,26.673,24.865,23.566,23.413,23.44,23.553,24.423,25.95,27.102,27.722,30.99,35.36,35.983,24.419
7164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31.752,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31.491,31.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31.491,31.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31.491,31.625,NA
