"";"log_dist_mean";"log_dist";"log_dist_name";"log_temp_weighted_mean";"log_temp";"log_number_of_log";"log_temp_difference"
"89";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,38256790366441
"90";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,38256790366441
"91";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,36256790366441
"92";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,31256790366441
"93";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,31256790366441
"94";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,31256790366441
"95";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,31256790366441
"96";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,31256790366441
"97";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,29256790366441
"98";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,2425679036644
"99";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,16256790366441
"100";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,1025679036644
"101";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,11256790366441
"102";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,11256790366441
"103";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,0825679036644
"104";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,05256790366441
"105";344,798898543831;"471.770213780519, 217.827583307143";"Log_48,Log_69";33,8625679036644;"30.457, 35.435";2;4,02256790366441
